name,country,color,sugar,volume,manufacturer,region,grape,year,price

Shiraz Mr Borio's,Южная Африка,красное,сухое,0.75 л.,Simonsig,Стелленбош,шираз 100%,2020 г.,2 990

Gavi dei Gavi (Etichetta Nera),Италия,белое,сухое,0.75 л.,La Scolca,Пьемонт,кортезе 100%,2022 г.,5 990

Красностоп Золотовский на Террасах ,Россия,красное,сухое,0.75 л.,Сикоры,Кубань,красностоп 100%,2018 г.,5 490

Vermentino di Toscana,Италия,белое,сухое,0.75 л.,Fattoria del Cerro,Тоскана,верментино,2022 г.,2 490

Pfefferer,Италия,белое,полусухое,0.75 л.,Colterenzio,Трентино-Альто Адидже,мускат желтый 100%,2023 г.,2 490

Malbec,Аргентина,красное,сухое,0.75 л.,Luigi Bosca,Мендоса,мальбек 100%,2022 г.,2 490

Brunello di Montalcino Castelgiocondo,Италия,красное,сухое,0.75 л.,Frescobaldi,Тоскана,санджовезе 100%,2019 г.,9 990

Sassi Chiusi,Италия,красное,сухое,0.75 л.,Bertinga,Тоскана,санджовезе 85%&мерло 15%,2015 г.,4 790

Cosaque Красная Горка,Россия,красное,сухое,0.75 л.,Галицкий и Галицкий,Кубань,мерло 48%&каберне совиньон 36%&цимлянский черный 8%&красностоп 8%,2021 г.,3 490

Chablis Sainte Claire,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,4 990

Nipozzano Chianti Rufina Riserva,Италия,красное,сухое,0.75 л.,Frescobaldi,Тоскана,санджовезе&мальвазия нера&колорино&мерло&каберне совиньон,2020 г.,3 890

Lafoa Sauvignon,Италия,белое,сухое,0.75 л.,Colterenzio,Трентино-Альто Адидже,совиньон блан 100%,2022 г.,7 990

Sancerre Blanc Les Baronnes,Франция,белое,сухое,0.75 л.,Henri Bourgeois,Долина Луары,совиньон блан 100%,2022 г.,6 290

Gavi Il Valentino,Италия,белое,сухое,0.75 л.,La Scolca,Пьемонт,кортезе 100%,2023 г.,2 790

Marques de Riscal Reserva,Испания,красное,сухое,0.75 л.,Marques de Riscal,Риоха,темпранильо&грасиано,2019 г.,4 490

Bourgogne Pinot Noir Laforet,Франция,красное,сухое,0.75 л.,Joseph Drouhin,Бургундия,пино нуар 100%,2021 г.,6 990

Cotes du Rhone Rouge,Франция,красное,сухое,0.75 л.,Guigal,Долина Роны,сира 50%&гренаш 40%&мурведр 10%,2020 г.,3 190

Каберне Совиньон Семейный Pезерв,Россия,красное,сухое,0.75 л.,Сикоры,Кубань,каберне совиньон 100%,2019 г.,3 490

Riesling,Франция,белое,сухое,0.75 л.,Trimbach,Эльзас,рислинг 100%,2021 г.,4 990

Anthilia,Италия,белое,сухое,0.75 л.,Donnafugata,Сицилия,катарратто,2022 г.,2 990

Pfefferer Sun,Италия,белое,сухое,0.75 л.,Colterenzio,Трентино-Альто Адидже,шардоне&пино бьянко&совиньон блан,2022 г.,2 690

Petit Chablis,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,4 690

Ballet Blanc Красная Горка,Россия,белое,сухое,0.75 л.,Галицкий и Галицкий,Кубань,рислинг 50%&шардоне 30%&совиньон блан 20%,2021 г.,3 490

Sauvignon Blanc Winkl,Италия,белое,сухое,0.75 л.,Cantina Terlan,Трентино-Альто Адидже,совиньон блан 100%,2022 г.,5 990

Clarendelle by Haut-Brion Rouge,Франция,красное,сухое,0.75 л.,Domaine Clarence Dillon,Бордо,мерло 83%&каберне совиньон 10%&каберне фран 7%,2016 г.,3 990

Emilio Moro,Испания,красное,сухое,0.75 л.,Emilio Moro,Кастилия и Леон,тинто фино 100%,2020 г.,5 490

Angel's Share,Австралия,красное,сухое,0.75 л.,Two Hands,Южная Австралия,шираз 100%,2022 г.,5 190

Gewurztraminer,Франция,белое,сухое,0.75 л.,Trimbach,Эльзас,гевюрцтраминер 100%,2019 г.,5 190

Рислинг Красная Горка,Россия,белое,сухое,0.75 л.,Галицкий и Галицкий,Кубань,рислинг 100%,2021 г.,3 490

La Pettegola,Италия,белое,сухое,0.75 л.,Banfi,Тоскана,верментино 100%,2022 г.,2 990

Chateauneuf-du-Pape Rouge,Франция,красное,сухое,0.75 л.,Guigal,Долина Роны,гренаш 75%&мурведр 15%&сира 10%,2018 г.,9 990

Chianti Classico,Италия,красное,сухое,0.75 л.,Banfi,Тоскана,санджовезе,2021 г.,3 690

